0,add,node1
0,add,node2
0,add,node3
0,add,node4
0,add,node5
0,add,node6
0,add,node7
0,add,node8
0,add,node9
0,add,node10
0,add,node11
0,add,node12
0,add,node13
0,add,node14
0,add,node15
0,add,node16
0,add,node17
0,add,node18
0,add,node19
0,add,node20
0,add,node21
0,add,node22
0,add,node23
0,add,node24
0,add,node25
0,add,node26
0,add,node27
0,add,node28
0,add,node29
0,add,node30
601200,remove,node5
1202400,remove,node21
1803600,remove,node20
2404800,remove,node15
3006000,remove,node1
3607200,remove,node17
4208400,remove,node30
4809600,remove,node28
5410800,remove,node22
6012000,remove,node16
6613200,remove,node23
7214400,remove,node12
7815600,remove,node13
8416800,remove,node25
9018000,remove,node9
